,,,,,Batting,,,,Batting Ratios,,,Batted Ball,,,,,,,,,Win Probability,,,Baserunning,,
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
65,Oswaldo Cabrera,25,NYY,104,0.313,97,0.286,0.134,2.90%,17.30%,5.80%,87.5,33.80%,23.80%,45.00%,26.30%,0.82,31.30%,51.30%,17.50%,0.1,0.00%,2.1,39%,100%,54%
66,Alex Call,29,WSN,9,0.687,359,0.6,0.167,0.00%,11.10%,22.20%,86.5,20.00%,0.00%,40.00%,40.00%,0.67,40.00%,60.00%,0.00%,0.2,0.10%,2.5,67%,,50%
67,Jair Camargo,24,MIN,5,0.138,-26,0,0,0.00%,40.00%,20.00%,77,0.00%,0.00%,100.00%,0.00%,,50.00%,50.00%,0.00%,-0.1,0.00%,-1.2,100%,,50%
68,Luis Campusano,25,SDP,98,0.338,116,0.309,0.138,2.00%,11.20%,4.10%,85,31.70%,18.10%,54.20%,21.70%,1.18,30.10%,59.00%,10.80%,0.3,0.10%,1.6,38%,,36%
69,Alexander Canario,24,CHC,23,0.365,120,0.444,0.2,4.40%,43.50%,8.70%,83.4,30.00%,30.00%,40.00%,10.00%,0.67,20.00%,60.00%,20.00%,-0.3,-0.20%,-0.7,43%,100%,0%
70,Jeimer Candelario,30,CIN,99,0.278,69,0.26,0.163,2.00%,35.40%,10.10%,84.8,32.70%,21.20%,44.20%,26.90%,0.79,32.70%,46.20%,21.20%,-0.4,-0.30%,-2.9,28%,0%,44%
71,Mark Canha,35,DET,112,0.424,177,0.299,0.239,4.50%,17.90%,13.40%,89.5,41.70%,27.80%,43.10%,22.20%,0.76,37.50%,44.40%,18.10%,0.5,0.40%,4.6,23%,100%,40%
72,Dominic Canzone,26,SEA,35,0.377,151,0.222,0.313,8.60%,31.40%,8.60%,90.3,42.90%,19.00%,42.90%,38.10%,0.75,38.10%,47.60%,14.30%,-0.2,-0.10%,1.3,14%,,
73,Victor Caratini,30,HOU,37,0.362,137,0.346,0.176,2.70%,18.90%,5.40%,92,48.10%,25.90%,48.10%,25.90%,0.93,18.50%,63.00%,18.50%,0.2,0.10%,2.2,50%,,33%
74,Kerry Carpenter,26,DET,93,0.347,123,0.344,0.207,3.20%,24.70%,3.20%,87.8,46.90%,20.30%,40.60%,32.80%,0.68,29.70%,53.10%,17.20%,0.1,0.10%,1.3,19%,,22%
75,Matt Carpenter,38,STL,11,0.255,49,0.429,0,0.00%,27.30%,0.00%,72.9,28.60%,14.30%,0.00%,28.60%,0,0.00%,71.40%,28.60%,0.1,0.10%,-0.1,33%,,0%
76,Corbin Carroll,23,ARI,126,0.268,58,0.23,0.045,0.80%,17.50%,11.90%,83.5,25.00%,21.60%,44.30%,18.20%,0.8,30.70%,51.10%,18.20%,-0.2,-0.10%,-3.7,33%,80%,50%
77,Evan Carter,21,TEX,103,0.343,118,0.23,0.247,4.90%,23.30%,10.70%,86.1,34.80%,19.70%,43.90%,27.30%,0.78,33.30%,56.10%,10.60%,0,0.00%,1.4,44%,100%,80%
78,Triston Casas,24,BOS,90,0.359,133,0.283,0.269,6.70%,28.90%,13.30%,89.9,42.30%,11.50%,53.80%,30.80%,1.17,25.00%,63.50%,11.50%,-0.1,-0.10%,-0.8,24%,0%,22%
79,Nick Castellanos,32,PHI,120,0.235,43,0.22,0.045,0.80%,22.50%,8.30%,87.3,37.30%,19.30%,39.80%,33.70%,0.66,34.90%,44.60%,20.50%,-0.8,-0.50%,-8.7,29%,0%,25%
80,Willi Castro,27,MIN,103,0.327,114,0.362,0.141,1.90%,32.00%,7.80%,85.7,40.70%,38.30%,38.30%,18.30%,0.64,38.30%,46.70%,15.00%,-0.2,-0.10%,-1.9,29%,50%,71%
81,Jake Cave,31,COL,30,0.293,70,0.333,0.111,0.00%,23.30%,6.70%,86.6,28.60%,14.30%,71.40%,14.30%,2.5,33.30%,42.90%,23.80%,0.3,0.10%,0,33%,,50%
82,Matt Chapman,31,SFG,120,0.294,81,0.266,0.168,3.30%,25.00%,5.00%,92.7,48.20%,21.70%,37.30%,28.90%,0.6,20.50%,51.80%,27.70%,-0.6,-0.30%,-2.7,39%,100%,71%
83,Jazz Chisholm Jr.,26,MIA,121,0.336,103,0.319,0.16,3.30%,27.30%,12.40%,88.3,39.70%,17.80%,45.20%,27.40%,0.87,37.00%,50.70%,12.30%,-0.2,-0.10%,1.6,24%,83%,64%
84,Jackson Chourio,20,MIL,102,0.273,61,0.263,0.149,3.90%,33.30%,5.90%,85.5,38.70%,12.90%,48.40%,33.90%,0.97,27.40%,48.40%,24.20%,-0.7,-0.50%,-5.2,29%,100%,50%
85,Jonatan Clase,22,SEA,28,0.249,46,0.333,0.037,0.00%,32.10%,3.60%,90.2,44.40%,33.30%,33.30%,33.30%,0.5,38.90%,50.00%,11.10%,-0.3,-0.20%,-2.7,14%,100%,100%
86,Kody Clemens,28,PHI,4,0.835,456,0.5,1,25.00%,25.00%,0.00%,97.1,66.70%,33.30%,33.30%,33.30%,0.5,100.00%,0.00%,0.00%,0,0.00%,2,0%,,
87,Ernie Clement,28,TOR,54,0.323,102,0.273,0.176,3.70%,11.10%,0.00%,83.6,17.00%,25.50%,42.60%,21.30%,0.77,27.70%,61.70%,10.60%,-0.3,-0.20%,-3.4,54%,100%,50%
88,Oscar Colás,25,CHW,1,0,-128,0,0,0.00%,0.00%,0.00%,79.3,0.00%,0.00%,100.00%,0.00%,,100.00%,0.00%,0.00%,-0.1,0.00%,-0.3,,,
89,Michael Conforto,31,SFG,111,0.343,123,0.303,0.2,4.50%,21.60%,5.40%,89.2,45.70%,16.00%,43.20%,33.30%,0.76,37.00%,48.10%,14.80%,-0.3,-0.10%,1.6,35%,0%,30%
90,William Contreras,26,MIL,129,0.442,183,0.415,0.196,3.90%,20.20%,10.90%,94.3,58.10%,17.20%,55.20%,21.80%,1.23,23.00%,52.90%,24.10%,1,0.70%,14.6,42%,100%,16%
91,Willson Contreras,32,STL,97,0.418,165,0.339,0.25,4.10%,20.60%,14.40%,89.5,40.00%,18.30%,41.70%,26.70%,0.71,21.70%,55.00%,23.30%,0.8,0.40%,4.9,25%,100%,50%
92,Garrett Cooper,33,CHC,41,0.344,112,0.391,0.162,2.40%,31.70%,9.80%,87.4,37.50%,25.00%,41.70%,29.20%,0.71,25.00%,50.00%,25.00%,-0.2,-0.10%,1.6,15%,,0%
93,Carlos Correa,29,MIN,48,0.359,134,0.345,0.125,2.10%,20.80%,16.70%,88.9,43.30%,36.70%,36.70%,23.30%,0.58,30.00%,50.00%,20.00%,0.3,0.20%,2.8,22%,,20%
94,Colton Cowser,24,BAL,83,0.439,190,0.4,0.342,7.20%,33.70%,10.80%,91,52.20%,26.10%,43.50%,28.30%,0.77,30.40%,47.80%,21.70%,-0.4,-0.20%,2.3,20%,100%,29%
95,Brandon Crawford,37,STL,19,0.171,-5,0.2,0,0.00%,36.80%,10.50%,88.2,30.00%,10.00%,40.00%,40.00%,0.67,20.00%,60.00%,20.00%,-0.1,-0.10%,-3,25%,,
96,J.P. Crawford,29,SEA,98,0.28,81,0.227,0.105,2.00%,18.40%,11.20%,85.7,30.90%,14.70%,58.80%,17.60%,1.48,35.30%,47.10%,17.60%,0.3,0.20%,-1.8,41%,,69%
97,Jake Cronenworth,30,SDP,128,0.343,126,0.284,0.191,3.10%,15.60%,9.40%,90.9,44.40%,29.30%,40.20%,26.10%,0.67,32.60%,51.10%,16.30%,-0.3,-0.20%,1.7,28%,0%,46%
98,Pete Crow-Armstrong,22,CHC,17,0.381,140,0.333,0.25,5.90%,17.70%,0.00%,84.8,28.60%,28.60%,28.60%,35.70%,0.44,7.10%,85.70%,7.10%,0.2,0.10%,1.3,25%,,0%
99,Oneil Cruz,25,PIT,120,0.295,82,0.369,0.107,2.50%,36.70%,6.70%,92.5,50.00%,20.60%,55.90%,19.10%,1.27,25.00%,55.90%,19.10%,-0.4,-0.30%,-11.8,16%,75%,17%
